yy-mm,TotalCount,AvTotal,E2Count,AvE2
2019-01,312,4:34,47,3:46
2019-02,270,4:35,43,4:16
2019-03,297,4:33,46,4:28
2019-04,291,4:22,43,4:17
2019-05,332,4:40,45,4:19
2019-06,344,4:31,49,4:13
2019-07,348,4:37,50,4:36
2019-08,395,4:37,56,4:30
2019-09,346,4:40,49,4:16
2019-10,389,4:38,55,4:36
2019-11,349,4:46,45,4:11
2019-12,295,4:35,36,3:53
2020-01,279,4:26,38,4:11
2020-02,299,4:25,45,4:18
2020-03,326,4:20,44,3:43
2020-04,244,4:00,41,3:46
2020-05,320,4:18,51,4:16
2020-06,306,4:29,46,3:58
2020-07,295,4:29,43,4:14
2020-08,349,4:38,36,4:19
2020-09,308,4:35,42,4:17
2020-10,322,4:27,43,4:08
2020-11,339,4:22,57,4:09
2020-12,303,4:24,38,4:11
2021-01,275,4:13,40,3:58
2021-02,284,4:26,36,4:01
2021-03,295,4:24,60,4:24
2021-04,317,4:31,43,4:23
2021-05,334,4:40,49,4:08
2021-06,361,4:59,49,4:48
2021-07,397,4:39,59,4:25
2021-08,385,4:18,54,4:17
2021-09,389,4:31,51,4:20
2021-10,377,4:44,43,4:23
2021-11,403,4:31,65,4:34
2021-12,378,4:30,81,4:24
2022-01,362,4:23,53,4:01
2022-02,388,4:24,44,3:55
2022-03,387,4:43,60,4:27
2022-04,371,4:27,54,4:29
2022-05,381,4:27,61,4:27
2022-06,380,4:45,62,3:56